,train_score,sparsity_sc,sparsity_sp,sparsity_diff
uba52,0.9547398,0.008388256440982622,0.015432098765432056,0.007043842324449434
kalrn,0.95446825,0.1139328017698299,0.021604938271604923,-0.09232786349822497
tubb3,0.9539221,0.057749919343688116,0.021604938271604923,-0.03614498107208319
eno1,0.9535323,0.006083790385767562,0.01851851851851849,0.012434728132750927
lhx1os,0.95314926,0.9971424620915333,0.9969135802469136,-0.00022888184461977712
adcy1,0.95309865,0.11231967553117939,0.024691358024691357,-0.08762831750648803
ccl27a,0.9527702,0.04585887449877868,0.024691358024691357,-0.021167516474087322
gng13,0.9516824,0.08171636631792412,0.03395061728395066,-0.04776574903397346
serinc3,0.9516569,0.008895238973129937,0.01851851851851849,0.009623279545388552
cend1,0.95138156,0.04055860257178412,0.024691358024691357,-0.015867244547092763
atp6ap2,0.95056134,0.01562427985435777,0.043209876543209846,0.027585596688852076
cplx2,0.9503237,0.17242015025118684,0.01851851851851849,-0.15390163173266835
stx1a,0.9502548,0.14822325667142922,0.024691358024691357,-0.12353189864673786
serpini1,0.9500061,0.05461584550859566,0.030864197530864224,-0.023751647977731438
zcchc18,0.94979787,0.0313407383509241,0.030864197530864224,-0.00047654082005987863
fam131a,0.949438,0.10996912015486016,0.02777777777777779,-0.08219134237708237
baiap2,0.94778335,0.2681476701848182,0.030864197530864224,-0.237283472653954
id2,0.94774103,0.21099691201548598,0.04012345679012341,-0.17087345522536257
gstm5,0.946497,0.023782089689818875,0.01851851851851849,-0.005263571171300385
got1,0.9458395,0.036456652993501426,0.030864197530864224,-0.0055924554626372025
marcks,0.9457095,0.06194404756417937,0.03395061728395066,-0.027993430280228715
rgs7bp,0.9452506,0.044384016223441014,0.04938271604938271,0.004998699825941699
dstn,0.94494843,0.017974835230677,0.030864197530864224,0.012889362300187224
ly6e,0.9449448,0.0438770336912937,0.030864197530864224,-0.013012836160429475
rgs4,0.9441966,0.2071714983638291,0.03703703703703709,-0.170134461326792
h3f3b,0.94372785,0.003917592293865457,0.04012345679012341,0.036205864496257956
mag,0.9436666,0.9657095450984007,0.23765432098765427,-0.7280552241107464
r3hdm1,0.94343907,0.035073973360372435,0.043209876543209846,0.008135903182837412
cnp,0.9427111,0.6447435129280545,0.043209876543209846,-0.6015336363848447
slc1a3,0.9426031,0.8952389731299258,0.04012345679012341,-0.8551155163398024
chst1,0.9418973,0.1597455869475043,0.02777777777777779,-0.1319678091697265
mal,0.94120485,0.9689357975757017,0.095679012345679,-0.8732567852300227
tmem132a,0.94088876,0.1801631561967092,0.03395061728395066,-0.14621253891275854
pgrmc1,0.9396779,0.02631700235055534,0.04938271604938271,0.023065713698827373
ndrg2,0.9387901,0.4515831681799327,0.021604938271604923,-0.4299782299083278
ndn,0.938753,0.24058625616444673,0.06172839506172845,-0.17885786110271829
fxyd7,0.9382165,0.23556252016407797,0.04629629629629628,-0.1892662238677817
diras2,0.938157,0.2510946213762272,0.06172839506172845,-0.18936622631449873
elmod1,0.9380039,0.057703830022583724,0.05246913580246915,-0.005234694220114577
scoc,0.9379174,0.02230723141448121,0.06172839506172845,0.03942116364724724
gad1,0.9365424,0.4456837350785823,0.058641975308642014,-0.38704175976994026
scg3,0.93627053,0.0433239618380421,0.03703703703703709,-0.006286924801005012
phactr1,0.9356711,0.07927363229939621,0.05555555555555558,-0.023718076743840633
