,score,is_training,sparsity_sp,sparsity_sc,sparsity_diff
mef2c,0.9832797,True,0.0030864197530864335,0.04152647831497447,-0.038440058561888035
atp5k,0.9831591,False,0.0030864197530864335,0.005484629211411685,-0.002398209458325251
pfdn5,0.98309875,False,0.0,0.017513942019634077,-0.017513942019634077
gdi1,0.9830848,False,0.0030864197530864335,0.008849149652025656,-0.005762729898939223
rpl36,0.9830663,True,0.0,0.006821219523436395,-0.006821219523436395
cx3cl1,0.9829601,False,0.0,0.045029266718901284,-0.045029266718901284
klc1,0.9828145,False,0.006172839506172867,0.026132645066138216,-0.01995980555996535
atp6v1b2,0.98279756,False,0.0030864197530864335,0.02627091302945106,-0.023184493276364626
ddx5,0.98243773,False,0.0,0.0011061437065031932,-0.0011061437065031932
rpl8,0.9821902,False,0.0,0.014886850716688937,-0.014886850716688937
map1b,0.98209196,False,0.006172839506172867,0.032400792736323014,-0.026227953230150147
atp1a1,0.9819691,True,0.0,0.02696225284601561,-0.02696225284601561
mif,0.9819265,False,0.0030864197530864335,0.008203899156565386,-0.005117479403478953
tuba4a,0.9818903,True,0.0,0.03530441996589395,-0.03530441996589395
syp,0.9818704,False,0.0030864197530864335,0.03724017145227454,-0.034153751699188106
atp5d,0.98184144,False,0.0030864197530864335,0.0069594874867493495,-0.003873067733662916
arf3,0.98176146,False,0.0030864197530864335,0.052726183343319355,-0.04963976359023292
rpl27,0.98165935,False,0.0092592592592593,0.008342167119878341,0.0009170921393809595
uqcc2,0.98165464,False,0.006172839506172867,0.016546066276443727,-0.01037322677027086
kif5a,0.98157984,False,0.0,0.08821496059363043,-0.08821496059363043
ndufa6,0.9815255,True,0.006172839506172867,0.007927363229939588,-0.001754523723766721
rpl15,0.9814466,False,0.0030864197530864335,0.016407798313130884,-0.01332137856004445
atp1a3,0.98140365,False,0.0030864197530864335,0.04161865695718303,-0.0385322372040966
atp2b2,0.98134506,True,0.0030864197530864335,0.03548877725031108,-0.03240235749722464
rps9,0.9812679,True,0.0,0.010462275890676165,-0.010462275890676165
rplp2,0.98111886,False,0.0030864197530864335,0.0076047379822095085,-0.004518318229123075
rpl31,0.98102,False,0.0030864197530864335,0.011476240954970685,-0.008389821201884251
arpp19,0.9809994,True,0.0030864197530864335,0.01995667603816198,-0.016870256285075547
cyfip2,0.9807295,False,0.0030864197530864335,0.09835461123657652,-0.09526819148349008
atp5g1,0.98067737,False,0.0030864197530864335,0.008941328294234219,-0.005854908541147785
rps6,0.9806635,True,0.0030864197530864335,0.015716458496566332,-0.012630038743479899
ap2m1,0.9804367,False,0.006172839506172867,0.016223441028713648,-0.01005060152254078
sub1,0.9803665,False,0.012345679012345734,0.005392450569203122,0.006953228443142612
fkbp1a,0.98018295,True,0.0,0.010554454532884727,-0.010554454532884727
chchd10,0.9801728,True,0.0030864197530864335,0.022860303267732918,-0.019773883514646484
cox5a,0.9799948,True,0.0092592592592593,0.005162003963681605,0.004097255295577695
serf2,0.97994494,False,0.0030864197530864335,0.003041895192883781,4.4524560202652275e-05
gng3,0.9799187,False,0.0030864197530864335,0.041434299672765795,-0.03834787991967936
gas5,0.9797387,True,0.0,0.012398027377056753,-0.012398027377056753
ubl5,0.97964084,False,0.0030864197530864335,0.009863114716320176,-0.0067766949632337425
ywhaq,0.97961,False,0.0030864197530864335,0.013550260404664227,-0.010463840651577794
ldha,0.9794993,True,0.0030864197530864335,0.02295248190994148,-0.019866062156855047
bex2,0.97948074,False,0.006172839506172867,0.03631838503018847,-0.030145545524015604
map1lc3a,0.97939634,False,0.0030864197530864335,0.01433377886343734,-0.011247359110350907
rps18,0.97936004,False,0.0,0.01599299442319213,-0.01599299442319213
dpysl2,0.9793361,False,0.006172839506172867,0.005069825321473043,0.0011030141846998243
prkar1a,0.97932565,False,0.006172839506172867,0.003871502972761176,0.002301336533411691
rpl5,0.97904855,False,0.0030864197530864335,0.02433516154307047,-0.021248741789984038
fbxl16,0.979025,False,0.0,0.06060745725215466,-0.06060745725215466
scd2,0.9789576,True,0.0092592592592593,0.05811863391252248,-0.04885937465326318
gabarapl1,0.9787221,False,0.012345679012345734,0.021201087707978017,-0.008855408695632283
mt1,0.9786971,True,0.0,0.17979444162787483,-0.17979444162787483
rpl10a,0.97857785,False,0.0030864197530864335,0.029497165506752077,-0.026410745753665643
rps2,0.97854346,False,0.0,0.01594690510208785,-0.01594690510208785
atp6v1a,0.97846943,False,0.006172839506172867,0.02396644697423611,-0.017793607468063244
slc22a17,0.97844464,False,0.0030864197530864335,0.018205281836198517,-0.015118862083112083
sptbn1,0.97843224,True,0.0030864197530864335,0.012398027377056753,-0.00931160762397032
grina,0.978312,False,0.006172839506172867,0.010784901138406244,-0.004612061632233377
atp5o,0.9781778,False,0.006172839506172867,0.010185739964050367,-0.0040129004578775
ptms,0.9779548,False,0.006172839506172867,0.017882656588468437,-0.01170981708229557
apbb1,0.9778296,False,0.006172839506172867,0.04401530165460665,-0.037842462148433786
ndufb4,0.9777961,False,0.012345679012345734,0.006775130202332114,0.00557054881001362
ypel3,0.97768813,False,0.0092592592592593,0.010185739964050367,-0.0009264807047910661
ptma,0.9776809,True,0.0,0.004009770936074131,-0.004009770936074131
rps4x,0.9775442,False,0.0030864197530864335,0.0256256625339909,-0.022539242780904467
rps17,0.9775376,False,0.006172839506172867,0.012075402129326673,-0.005902562623153806
ndufb8,0.97749686,False,0.0030864197530864335,0.005438539890307403,-0.00235212013722097
mrfap1,0.9774225,False,0.006172839506172867,0.01166059823938792,-0.0054877587332150535
dynll2,0.9773312,False,0.006172839506172867,0.03793151126883898,-0.03175867176266611
scn1b,0.9773308,False,0.006172839506172867,0.05645941835276769,-0.05028657884659482
hpca,0.9772588,True,0.0030864197530864335,0.08001106143706505,-0.07692464168397861
tma7,0.97707784,False,0.0030864197530864335,0.014886850716688937,-0.011800430963602504
dynlrb1,0.97689116,False,0.0092592592592593,0.007743005945522463,0.0015162533137368372
gria2,0.97683424,False,0.015432098765432056,0.02161589159791677,-0.0061837928324847136
pja2,0.976725,False,0.006172839506172867,0.0313407383509241,-0.025167898844751235
tubb5,0.97659045,False,0.006172839506172867,0.026823984882702656,-0.02065114537652979
dclk1,0.9765056,False,0.006172839506172867,0.02396644697423611,-0.017793607468063244
clu,0.97644895,True,0.0,0.023413375120984514,-0.023413375120984514
ndufa3,0.9763734,False,0.0030864197530864335,0.0023044660552150598,0.0007819536978713737
snap47,0.9763571,False,0.006172839506172867,0.030787666497672506,-0.02461482699149964
prkacb,0.97629404,False,0.006172839506172867,0.05194266488454624,-0.045769825378373374
nsg2,0.9762367,True,0.006172839506172867,0.05728902613264508,-0.051116186626472215
tubb2a,0.97612154,True,0.0030864197530864335,0.014195510900124386,-0.011109091147037953
nme1,0.97607636,False,0.012345679012345734,0.017145227450799605,-0.004799548438453871
ndufa5,0.976003,False,0.006172839506172867,0.009724846753007332,-0.0035520072468344654
sptan1,0.97594047,False,0.0030864197530864335,0.033460847121721926,-0.030374427368635493
malat1,0.9756575,True,0.0,0.0,0.0
gnao1,0.9755171,True,0.006172839506172867,0.022491588698898446,-0.01631874919272558
wbp2,0.97542846,False,0.0030864197530864335,0.013135456514725585,-0.010049036761639152
kif1a,0.97541136,False,0.006172839506172867,0.032769507305157375,-0.026596667798984508
eef1a2,0.97527933,False,0.021604938271604923,0.056735954279393486,-0.03513101600778856
rpl28,0.9752204,False,0.0030864197530864335,0.011983223487118,-0.008896803734031566
ndufb5,0.97508,False,0.006172839506172867,0.016131262386505085,-0.009958422880332218
gpm6b,0.97506577,True,0.006172839506172867,0.04134212103055723,-0.035169281524384366
naca,0.9750583,True,0.0092592592592593,0.009171774899755736,8.748435950356459e-05
