,train_score,sparsity_sc,sparsity_sp,sparsity_diff
ptgds,0.87019116,0.7829653869198507,0.006172839506172867,-0.7767925474136779
dstn,0.86975133,0.017974835230677,0.030864197530864224,0.012889362300187224
baiap2,0.8693998,0.2681476701848182,0.030864197530864224,-0.237283472653954
pla1a,0.8691038,0.9921187260911647,0.9753086419753086,-0.01681008411585605
adcy1,0.86895597,0.11231967553117939,0.024691358024691357,-0.08762831750648803
h3f3b,0.86853415,0.003917592293865457,0.04012345679012341,0.036205864496257956
nsg2,0.86827016,0.05728902613264508,0.006172839506172867,-0.051116186626472215
sec62,0.86696136,0.004839378715951526,0.0771604938271605,0.07232111511120898
r3hdm1,0.8668494,0.035073973360372435,0.043209876543209846,0.008135903182837412
scoc,0.86656255,0.02230723141448121,0.06172839506172845,0.03942116364724724
serinc3,0.8664042,0.008895238973129937,0.01851851851851849,0.009623279545388552
rbm39,0.86632353,0.0014287689542332727,0.0771604938271605,0.07573172487292723
celf4,0.86598057,0.04567451721436144,0.015432098765432056,-0.030242418448929387
psd3,0.86595374,0.1605291054062774,0.01851851851851849,-0.14201058688775892
atp6ap2,0.8655533,0.01562427985435777,0.043209876543209846,0.027585596688852076
marcks,0.8643574,0.06194404756417937,0.03395061728395066,-0.027993430280228715
b2m,0.8640473,0.08710881688712724,0.03703703703703709,-0.05007177985009015
got1,0.8639547,0.036456652993501426,0.030864197530864224,-0.0055924554626372025
ncald,0.8638243,0.04867032308614094,0.024691358024691357,-0.023978965061449586
rgs7bp,0.8634478,0.044384016223441014,0.04938271604938271,0.004998699825941699
uba52,0.8626997,0.008388256440982622,0.015432098765432056,0.007043842324449434
gng13,0.86269087,0.08171636631792412,0.03395061728395066,-0.04776574903397346
stx1a,0.86250985,0.14822325667142922,0.024691358024691357,-0.12353189864673786
nptx1,0.8606353,0.470664147117113,0.08333333333333337,-0.38733081378377965
phactr1,0.8604123,0.07927363229939621,0.05555555555555558,-0.023718076743840633
ly6h,0.86037564,0.056090703783933216,0.015432098765432056,-0.04065860501850116
gstm5,0.86025286,0.023782089689818875,0.01851851851851849,-0.005263571171300385
tubb3,0.8601076,0.057749919343688116,0.021604938271604923,-0.03614498107208319
pgrmc1,0.859529,0.02631700235055534,0.04938271604938271,0.023065713698827373
fbxw7,0.8586127,0.06493985343595887,0.0679012345679012,0.002961381131942331
mast3,0.8571381,0.31543531363783006,0.07098765432098764,-0.24444765931684242
rgs4,0.8569372,0.2071714983638291,0.03703703703703709,-0.170134461326792
chst1,0.8566966,0.1597455869475043,0.02777777777777779,-0.1319678091697265
ly6e,0.8565852,0.0438770336912937,0.030864197530864224,-0.013012836160429475
atox1,0.8564387,0.019772318753744744,0.07407407407407407,0.054301755320329326
mobp,0.8563461,0.7647601050836521,0.043209876543209846,-0.7215502285404423
qk,0.85579073,0.24113932801769833,0.04629629629629628,-0.19484303172140205
fxyd7,0.85573035,0.23556252016407797,0.04629629629629628,-0.1892662238677817
morf4l2,0.8554314,0.02433516154307047,0.058641975308642014,0.03430681376557154
sh3bgrl3,0.85478973,0.02691616352491133,0.05246913580246915,0.025552972277557817
gda,0.8542799,0.3004101949578283,0.0679012345679012,-0.23250896038992708
ramp1,0.8536647,0.30437387657279813,0.0771604938271605,-0.22721338274563763
zcchc18,0.8536155,0.0313407383509241,0.030864197530864224,-0.00047654082005987863
ndrg2,0.8528692,0.4515831681799327,0.021604938271604923,-0.4299782299083278
meis1,0.85258645,0.9595335760704244,0.9691358024691358,0.009602226398711333
scg3,0.85198355,0.0433239618380421,0.03703703703703709,-0.006286924801005012
fut9,0.8510341,0.11748167949486099,0.1049382716049383,-0.012543407889922698
nudt4,0.8498953,0.1065585103931419,0.0679012345679012,-0.0386572758252407
ptprd,0.84972507,0.10075125593400014,0.0679012345679012,-0.032850021366098936
tspan13,0.8494651,0.039452458865280926,0.07098765432098764,0.03153519545570671
itpka,0.849115,0.44305664377563714,0.058641975308642014,-0.3844146684669951
tmem132a,0.84894925,0.1801631561967092,0.03395061728395066,-0.14621253891275854
son,0.8484019,0.0005991611743558778,0.07407407407407407,0.07347491289971819
nrxn3,0.847907,0.06719823017006954,0.06481481481481477,-0.00238341535525477
ndn,0.84702885,0.24058625616444673,0.06172839506172845,-0.17885786110271829
elmod1,0.84664786,0.057703830022583724,0.05246913580246915,-0.005234694220114577
tusc3,0.8466348,0.0378854219477347,0.058641975308642014,0.020756553360907315
dkk3,0.84649736,0.3641517260450754,0.10185185185185186,-0.26229987419322354
slc1a3,0.84645844,0.8952389731299258,0.04012345679012341,-0.8551155163398024
caly,0.8463321,0.04820942987509791,0.05246913580246915,0.004259705927371238
lancl1,0.84584594,0.02793012858920585,0.07098765432098764,0.04305752573178179
slc39a10,0.8457512,0.14356823523989493,0.0864197530864198,-0.05714848215347512
gm27199,0.84571177,0.9897220813937411,0.9969135802469136,0.0071914988531724955
gria3,0.8456794,0.16398580448909983,0.06172839506172845,-0.10225740942737138
cd274,0.84544957,0.9578743605106697,0.9876543209876543,0.029779960476984613
hlf,0.8440926,0.22533069087892332,0.08950617283950613,-0.1358245180394172
cnksr2,0.8428232,0.2209982946951191,0.06481481481481477,-0.15618347988030434
cplx2,0.84277576,0.17242015025118684,0.01851851851851849,-0.15390163173266835
gpr183,0.8422055,0.9622989353366825,0.9814814814814815,0.019182546144798973
paip2,0.8417637,0.016131262386505085,0.11111111111111116,0.09497984872460608
