,train_score,sparsity_sc,sparsity_sp,sparsity_diff
npas1,0.70005625,0.9564904846581666,0.9891392610637434,0.03264877640557684
eva1c,0.69936806,0.9327305058454088,0.9964474218432805,0.06371691599787166
mapk10,0.6990945,0.20695395558246,0.7436053593179051,0.5366514037354451
dcdc2a,0.69907236,0.945556354280958,0.9857896873731222,0.04023333309216426
syn2,0.6989976,0.25738715901781994,0.7473609419407228,0.48997378292290283
parvb,0.6951821,0.9412432371079414,0.9925903369874137,0.05134709987947228
plcg2,0.6940599,0.967046271423707,0.998375964271214,0.031329692847506974
csf1r,0.6936863,0.9469940600052968,0.9589930978481527,0.01199903784285583
plekhg3,0.6928767,0.9155537058756763,0.9804100690215185,0.0648563631458422
p2ry6,0.6910503,0.9681434678975446,0.999187982135607,0.031044514238062426
mylk,0.69062495,0.9577768529378381,0.9929963459196103,0.03521949298177218
strbp,0.6903157,0.0921645038023533,0.7447218838814453,0.652557380079092
havcr2,0.68997675,0.9698081797888842,0.9986804709703614,0.02887229118147716
emcn,0.689716,0.9625439824448564,0.9967519285424279,0.034207946097571496
zic1,0.6895693,0.9860391207294464,0.977568006496143,-0.00847111423330349
myo1f,0.6892851,0.9553176194619953,0.9980714575720666,0.042753838110071274
tlr7,0.6881091,0.9726079225152283,0.9988834754364596,0.026275552921231293
pik3ap1,0.68806416,0.9728349286822292,0.999187982135607,0.026353053453377795
anln,0.68755376,0.88347016760622,0.9722898903775883,0.08881972277136829
rgs5,0.6875107,0.9737051189890659,0.976857490864799,0.00315237187573314
ptprc,0.68707854,0.9676894555635428,0.9986804709703614,0.03099101540681859
pecam1,0.68697304,0.9608036018311831,0.9953308972797401,0.03452729544855704
paqr5,0.68535435,0.9742348000454012,0.9974624441737718,0.02322764412837064
olig1,0.6852673,0.8621315879081382,0.9146366220056841,0.05250503409754592
dlx1,0.685166,0.9506639930384776,0.9897482744620382,0.039084281423560574
mrc2,0.68480974,0.9380651507699292,0.9957369062119367,0.05767175544200742
